Plot Title: CCP,,
#,"Date Time, GMT-05:00",Temp. °F (LGR S/N: 20462604. SEN S/N: 20462604)
3368,6/3/2019 13:30,56
3369,6/3/2019 14:00,56
3370,6/3/2019 14:30,57
3371,6/3/2019 15:00,57
3372,6/3/2019 15:30,57
3373,6/3/2019 16:00,57
3374,6/3/2019 16:30,56
3375,6/3/2019 17:00,56
3376,6/3/2019 17:30,56
3377,6/3/2019 18:00,56
3378,6/3/2019 18:30,56
3379,6/3/2019 19:00,56
3380,6/3/2019 19:30,57
3381,6/3/2019 20:00,56
3382,6/3/2019 20:30,56
3383,6/3/2019 21:00,56
3384,6/3/2019 21:30,56
3385,6/3/2019 22:00,56
3386,6/3/2019 22:30,56
3387,6/3/2019 23:00,56
3388,6/3/2019 23:30,56
3389,7/3/2019 0:00,56
3390,7/3/2019 0:30,57
3391,7/3/2019 1:00,56
3392,7/3/2019 1:30,56
3393,7/3/2019 2:00,56
3394,7/3/2019 2:30,56
3395,7/3/2019 3:00,56
3396,7/3/2019 3:30,56
3397,7/3/2019 4:00,56
3398,7/3/2019 4:30,56
3399,7/3/2019 5:00,56
3400,7/3/2019 5:30,57
3401,7/3/2019 6:00,57
3402,7/3/2019 6:30,56
3403,7/3/2019 7:00,57
3404,7/3/2019 7:30,57
3405,7/3/2019 8:00,57
3406,7/3/2019 8:30,57
3407,7/3/2019 9:00,57
3408,7/3/2019 9:30,57
3409,7/3/2019 10:00,58
3410,7/3/2019 10:30,58
3411,7/3/2019 11:00,58
3412,7/3/2019 11:30,59
3413,7/3/2019 12:00,58
3414,7/3/2019 12:30,58
3415,7/3/2019 13:00,58
3416,7/3/2019 13:30,58
3417,7/3/2019 14:00,58
3418,7/3/2019 14:30,57
3419,7/3/2019 15:00,58
3420,7/3/2019 15:30,58
3421,7/3/2019 16:00,59
3422,7/3/2019 16:30,58
3423,7/3/2019 17:00,58
3424,7/3/2019 17:30,58
3425,7/3/2019 18:00,58
3426,7/3/2019 18:30,58
3427,7/3/2019 19:00,58
3428,7/3/2019 19:30,58
3429,7/3/2019 20:00,58
3430,7/3/2019 20:30,58
3431,7/3/2019 21:00,57
3432,7/3/2019 21:30,57
3433,7/3/2019 22:00,57
3434,7/3/2019 22:30,57
3435,7/3/2019 23:00,57
3436,7/3/2019 23:30,57
3437,8/3/2019 0:00,57
3438,8/3/2019 0:30,57
3439,8/3/2019 1:00,57
3440,8/3/2019 1:30,57
3441,8/3/2019 2:00,57
3442,8/3/2019 2:30,56
3443,8/3/2019 3:00,56
3444,8/3/2019 3:30,56
3445,8/3/2019 4:00,56
3446,8/3/2019 4:30,56
3447,8/3/2019 5:00,56
3448,8/3/2019 5:30,56
3449,8/3/2019 6:00,56
3450,8/3/2019 6:30,56
3451,8/3/2019 7:00,56
3452,8/3/2019 7:30,56
3453,8/3/2019 8:00,56
3454,8/3/2019 8:30,56
3455,8/3/2019 9:00,56
3456,8/3/2019 9:30,56
3457,8/3/2019 10:00,57
3458,8/3/2019 10:30,57
3459,8/3/2019 11:00,57
3460,8/3/2019 11:30,57
3461,8/3/2019 12:00,58
3462,8/3/2019 12:30,58
3463,8/3/2019 13:00,58
3464,8/3/2019 13:30,59
3465,8/3/2019 14:00,59
3466,8/3/2019 14:30,59
3467,8/3/2019 15:00,59
3468,8/3/2019 15:30,59
3469,8/3/2019 16:00,60
3470,8/3/2019 16:30,60
3471,8/3/2019 17:00,60
3472,8/3/2019 17:30,60
3473,8/3/2019 18:00,60
3474,8/3/2019 18:30,60
3475,8/3/2019 19:00,60
3476,8/3/2019 19:30,60
3477,8/3/2019 20:00,58
3478,8/3/2019 20:30,58
3479,8/3/2019 21:00,58
3480,8/3/2019 21:30,58
3481,8/3/2019 22:00,58
3482,8/3/2019 22:30,58
3483,8/3/2019 23:00,58
3484,8/3/2019 23:30,58
3485,9/3/2019 0:00,58
3486,9/3/2019 0:30,58
3487,9/3/2019 1:00,58
3488,9/3/2019 1:30,58
3489,9/3/2019 2:00,58
3490,9/3/2019 2:30,58
3491,9/3/2019 3:00,58
3492,9/3/2019 3:30,58
3493,9/3/2019 4:00,58
3494,9/3/2019 4:30,58
3495,9/3/2019 5:00,57
3496,9/3/2019 5:30,57
3497,9/3/2019 6:00,57
3498,9/3/2019 6:30,57
3499,9/3/2019 7:00,57
3500,9/3/2019 7:30,57
3501,9/3/2019 8:00,57
3502,9/3/2019 8:30,57
3503,9/3/2019 9:00,57
3504,9/3/2019 9:30,58
3505,9/3/2019 10:00,58
3506,9/3/2019 10:30,58
3507,9/3/2019 11:00,58
3508,9/3/2019 11:30,58
3509,9/3/2019 12:00,58
3510,9/3/2019 12:30,58
3511,9/3/2019 13:00,58
3512,9/3/2019 13:30,59
3513,9/3/2019 14:00,59
3514,9/3/2019 14:30,59
3515,9/3/2019 15:00,59
3516,9/3/2019 15:30,58
3517,9/3/2019 16:00,58
3518,9/3/2019 16:30,58
3519,9/3/2019 17:00,58
3520,9/3/2019 17:30,58
