Plot Title: Puerto Montt CHILE Site Y,,,,,,
#,"Date Time, GMT-05:00","Temp, °F (LGR S/N: 20462593, SEN S/N: 20462593)",Coupler Attached (LGR S/N: 20462593),Host Connected (LGR S/N: 20462593),Stopped (LGR S/N: 20462593),End Of File (LGR S/N: 20462593)
1172,2/23/2019 19:30,61.398,,,,
1173,2/23/2019 20:00,61.398,,,,
1174,2/23/2019 20:30,61.398,,,,
1175,2/23/2019 21:00,61.398,,,,
1176,2/23/2019 21:30,61.227,,,,
1177,2/23/2019 22:00,61.227,,,,
1178,2/23/2019 22:30,61.054,,,,
1179,2/23/2019 23:00,61.227,,,,
1180,2/23/2019 23:30,61.054,,,,
1181,2/24/2019 0:00,60.883,,,,
1182,2/24/2019 0:30,61.054,,,,
1183,2/24/2019 1:00,61.227,,,,
1184,2/24/2019 1:30,60.883,,,,
1185,2/24/2019 2:00,60.883,,,,
1186,2/24/2019 2:30,60.883,,,,
1187,2/24/2019 3:00,60.883,,,,
1188,2/24/2019 3:30,61.054,,,,
1189,2/24/2019 4:00,61.054,,,,
1190,2/24/2019 4:30,61.054,,,,
1191,2/24/2019 5:00,60.883,,,,
1192,2/24/2019 5:30,60.883,,,,
1193,2/24/2019 6:00,60.712,,,,
1194,2/24/2019 6:30,60.712,,,,
1195,2/24/2019 7:00,60.712,,,,
1196,2/24/2019 7:30,60.712,,,,
1197,2/24/2019 8:00,60.712,,,,
1198,2/24/2019 8:30,60.712,,,,
1199,2/24/2019 9:00,60.883,,,,
1200,2/24/2019 9:30,60.883,,,,
1201,2/24/2019 10:00,60.883,,,,
1202,2/24/2019 10:30,61.227,,,,
1203,2/24/2019 11:00,61.227,,,,
1204,2/24/2019 11:30,61.398,,,,
1205,2/24/2019 12:00,61.398,,,,
1206,2/24/2019 12:30,61.741,,,,
1207,2/24/2019 13:00,61.741,,,,
1208,2/24/2019 13:30,61.912,,,,
1209,2/24/2019 14:00,62.083,,,,
1210,2/24/2019 14:30,61.912,,,,
1211,2/24/2019 15:00,62.083,,,,
1212,2/24/2019 15:30,61.912,,,,
1213,2/24/2019 16:00,62.083,,,,
1214,2/24/2019 16:30,62.083,,,,
1215,2/24/2019 17:00,62.083,,,,
1216,2/24/2019 17:30,61.741,,,,
1217,2/24/2019 18:00,61.741,,,,
1218,2/24/2019 18:30,61.569,,,,
1219,2/24/2019 19:00,61.398,,,,
1220,2/24/2019 19:30,61.398,,,,
1221,2/24/2019 20:00,61.227,,,,
1222,2/24/2019 20:30,61.227,,,,
1223,2/24/2019 21:00,61.227,,,,
1224,2/24/2019 21:30,61.227,,,,
1225,2/24/2019 22:00,61.227,,,,
1226,2/24/2019 22:30,61.227,,,,
1227,2/24/2019 23:00,61.227,,,,
1228,2/24/2019 23:30,61.054,,,,
1229,2/25/2019 0:00,61.054,,,,
1230,2/25/2019 0:30,60.883,,,,
1231,2/25/2019 1:00,61.054,,,,
1232,2/25/2019 1:30,61.054,,,,
1233,2/25/2019 2:00,61.227,,,,
1234,2/25/2019 2:30,61.227,,,,
1235,2/25/2019 3:00,61.227,,,,
1236,2/25/2019 3:30,61.054,,,,
1237,2/25/2019 4:00,61.054,,,,
1238,2/25/2019 4:30,61.054,,,,
1239,2/25/2019 5:00,61.054,,,,
1240,2/25/2019 5:30,61.054,,,,
1241,2/25/2019 6:00,61.054,,,,
1242,2/25/2019 6:30,61.054,,,,
1243,2/25/2019 7:00,61.054,,,,
1244,2/25/2019 7:30,60.883,,,,
1245,2/25/2019 8:00,60.883,,,,
1246,2/25/2019 8:30,61.054,,,,
1247,2/25/2019 9:00,61.054,,,,
1248,2/25/2019 9:30,61.054,,,,
1249,2/25/2019 10:00,61.227,,,,
1250,2/25/2019 10:30,61.227,,,,
1251,2/25/2019 11:00,61.398,,,,
1252,2/25/2019 11:30,61.569,,,,
1253,2/25/2019 12:00,61.741,,,,
1254,2/25/2019 12:30,61.912,,,,
